"artists","avg_popularity","avg_duration_ms","avg_danceability","avg_energy","avg_key","avg_loudness","avg_mode","avg_speechiness","avg_acousticness","avg_instrumentalness","avg_liveness","avg_valence","avg_tempo","avg_time_signature"
"-M-",31.5714285714286,227024.428571429,0.565285714285714,0.592428571428571,8,-9.82557142857143,0.428571428571429,0.0895428571428571,0.406628571428571,0.0170571,0.371,0.428857142857143,103.078142857143,3.85714285714286
":Wumpscut:",20,281493,0.533,0.778,1,-7.344,1,0.0321,0.0125,0.683,0.649,0.286,100.002,3
"!nvite",23,137367.5,0.8205,0.519,6.5,-10.173,0.5,0.27,0.499,0.01136,0.1285,0.415,84.997,4
"? & The Mysterians",40,176866,0.65,0.562,7,-5.965,1,0.0345,0.0623,3.08e-05,0.076,0.88,123.674,4
"¿Téo?",61,203777,0.715,0.584,0,-9.004,1,0.136,0.291,0.00366,0.068,0.429,97.214,4
"'Falsettos' 2016 Broadway Company",30,308133,0.384,0.309,4,-8.716,1,0.0401,0.817,0,0.108,0.323,81.587,4
"'Til Tuesday",28,261266,0.611,0.645,0,-7.394,1,0.0264,0.00339,4.45e-06,0.0793,0.411,106.639,4
"""Puppy Dog Pals"" Cast",57.5,47966.5,0.705,0.856,5,-4.274,0.5,0.1245,0.096,0.000705,0.1475,0.915,138.0425,3.5
"""Weird Al"" Yankovic",26.3333333333333,246778.333333333,0.6574,0.575,5.93333333333333,-10.2011333333333,0.8,0.10714,0.250997333333333,8.002e-06,0.19336,0.736,117.368,4
"(DOLCH)",22,432133,0.41,0.618,11,-8.491,1,0.0439,0.0042,0.000592,0.327,0.267,100.035,4
"(G)I-DLE",72,189190.666666667,0.644333333333333,0.833333333333333,3.66666666666667,-3.055,0,0.0679666666666667,0.0304933333333333,2.41e-06,0.1208,0.453333333333333,109.676333333333,4
"(Hed) P.E.",24.4117647058824,222003.647058824,0.612823529411765,0.863764705882353,3.76470588235294,-5.63335294117647,0.764705882352941,0.163129411764706,0.0154999176470588,0.0164046411764706,0.327041176470588,0.515647058823529,121.191823529412,4
"(Hed) P.E.;Lajon Witherspoon;Sevendust",26,240266,0.371,0.96,7,-4.578,1,0.123,0.000397,0.00101,0.103,0.606,175.154,4
"(Hed) P.E.;Serj Tankian;Morgan Lander",23,254026,0.678,0.69,4,-7.615,1,0.19,0.00333,0.00078,0.0453,0.754,90.869,4
"[:SITD:];Dennis Schober",22,447386,0.508,0.891,5,-6.443,1,0.036,0.168,0.0669,0.13,0.285,105.014,4
"[Alexandros]",21,251065.230769231,0.507384615384615,0.940384615384615,6.76923076923077,-3.40253846153846,0.615384615384615,0.0780692307692308,0.00118938461538462,0.00784166769230769,0.142623076923077,0.500846153846154,118.325,4
"[bsd.u]",58.5,104320,0.798,0.255,6,-11.948,0,0.1625,0.2688,0.8625,0.238,0.8615,78.532,4
"『ユイカ』",41.6666666666667,272323,0.641333333333333,0.571333333333333,3.66666666666667,-6.36833333333333,1,0.0293,0.175433333333333,3.78e-06,0.238033333333333,0.747,146.346666666667,4
"『ユイカ』;れん",56,298663,0.603,0.481,0,-6.689,1,0.0345,0.173,0,0.329,0.698,164.999,4
"&ME;Rampa;Adam Port;Sofie Royer",50,385103,0.772,0.485,11,-14.388,0,0.0611,0.000391,0.847,0.0913,0.156,120,4
"#Kids;Nursery Rhymes;Nursery Rhymes and Kids Songs",34,104000,0.58,0.494,7,-13.402,0,0.0453,0.0488,0.787,0.114,0.908,149.908,4
"´Goule",35.5,103318,0.652,0.302,6.5,-12.6135,1,0.1191,0.7565,0.897,0.4325,0.26,121.4655,4
"=LOVE",31.3958333333333,253851.895833333,0.527875,0.90425,6.04166666666667,-3.4675625,0.8125,0.0701520833333333,0.1096568375,0.0718885102083334,0.202458333333333,0.624416666666667,144.636708333333,4
"≠ME",31,248866.826086957,0.52695652173913,0.911565217391304,6.30434782608696,-3.03947826086957,0.782608695652174,0.0645130434782609,0.123316275217391,0.0807353669565217,0.234752173913043,0.611826086956522,137.493347826087,3.91304347826087
"✦ pink cig ✦;Emo Fruits",58,190868,0.609,0.389,3,-8.834,0,0.0352,0.226,0,0.108,0.124,118.047,4
"$affie",39,134506,0.744,0.178,0,-13.225,1,0.0996,0.808,0.89,0.096,0.23,148.26,4
"$affie;lofi stu",43,128785,0.821,0.252,11,-8.882,0,0.0447,0.876,0.868,0.109,0.283,74.997,4
"04 Limited Sazabys",32,113573,0.42,0.994,8,-2.576,1,0.217,0.000807,0.151,0.224,0.0582,112.643,4
"1 Trait Danger",21,204000,0.693,0.679,9,-5.452,1,0.43,0.0727,0,0.176,0.693,159.9,4
"10 Years",43.5,216786.5,0.43225,0.81425,4.25,-4.3685,0.25,0.05285,0.0063535,8.83925e-05,0.220875,0.32025,155.63625,4
"10-FEET",33.3333333333333,138226.333333333,0.503666666666667,0.981,6.66666666666667,-1.75933333333333,1,0.0924333333333333,0.0460536666666667,1.82666666666667e-06,0.164666666666667,0.643666666666667,118.788666666667,4
"10-FEET;Yabai T-Shirts Yasan",33,192760,0.355,0.993,0,-1.176,1,0.141,0.00114,0.00113,0.406,0.32,195.026,4
"100 Blaze",0,156653,0.771,0.456,10,-11.036,0,0.439,0.122,0,0.136,0.607,148.062,4
"100 Blaze;Lacrim",0,235538,0.779,0.91,1,-3.717,1,0.346,0.183,0,0.111,0.491,139.976,4
"1019;Lucio101;Omar101;Nizi19;Karamel19",38,126757,0.723,0.497,1,-8.655,1,0.335,0.054,3.81e-06,0.297,0.415,125.985,4
"102 Boyz;Chapo102;Stacks102;Skoob102",39,190133,0.733,0.616,6,-6.607,0,0.278,0.0305,0,0.107,0.364,79.979,4
"102 Boyz;The Cratez;Chapo102;Skoob102;Stacks102",37,159811,0.819,0.669,1,-6.85,1,0.148,0.0265,3.82e-06,0.0673,0.648,75.027,4
"10cc",14,292379,0.5453,0.5411,1.5,-9.4177,0.9,0.07363,0.27784,0.0014068,0.2372,0.6276,138.3265,3.6
"10cm",61,237266,0.359,0.469,7,-8.06,1,0.0326,0.745,0,0.101,0.259,84.366,4
"110",41,248667,0.587,0.622,4,-6.907,0,0.0263,0.00566,0.196,0.317,0.366,85.986,4
